,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
62,krieg,fast,flug,belustigt,kontrollflugs,abscheulichen,erlebnis,notlandung,einziger,irrsinn,blöden,locker,erkennen,schaffen,berichtet,gegangen,flugblättern,wär,wegen,ende
63,harmonie,ton,vollkommen,platz,sees,schilf,drumherum,zeitraffer,weiß,mehr,philosophie,text,bild,bildbeschreibung,ichbinsophiescholl,religiös,remilitarisierung,rektor,remppis,0003
64,frieß,else,verehre,beigetragen,schulzeiten,faul,biologielehrerin,brieffreundin,zeichenblock,fällt,wänden,lehrerin,frech,wüsste,erkannt,eingesperrt,see,leichter,porträt,gelungen
65,traurigen,euphorisch,bekomme,seltsam,ging,begonnen,stimmung,mut,ende,zurück,meinewoche,woche,ganz,ichbinsophiescholl,reneesintenis,rektor,remppis,renée,remilitarisierung,religiös
66,kartoffelkäfer,gerücht,sollen,ernte,verderben,bunten,ausschau,kreaturen,missbraucht,hässliches,geschöpfe,feldern,dran,eingesetzt,gegner,krieg,akg,images,halten,schönen
67,köln,dok,sz,photo,bombenangriff,ns,irma,mitgebracht,bilder,worte,schrecklich,unglaublich,finde,bildquelle,gerade,ichbinsophiescholl,redete,remilitarisierung,resten,rest
68,fotos,lagern,gezwungen,frau,wegzuschaffen,stundenlang,privilegien,flüchten,leichen,wozu,liebeskummer,trümmern,austauscht,behütet,verletzte,ausflüge,verschwinden,niemandem,köln,heil
69,niemand,illustration,schwingt,flügel,waswärewenn,gelb,eule,schwarzen,mitmachen,soldaten,einfach,edith_carron,mehr,ichbinsophiescholl,reiseroute,religiös,rektor,rekrutenausbildung,rekonstruierbar,reizen
70,rüstungsdienst,verweigere,lebt,monaten,verlassen,komme,bleiben,uni,gleich,meinewoche,geht,widerstand,münchen,ichbinsophiescholl,reisevorbereitungen,rekrutenausbildung,reise,remilitarisierung,religiös,reisenden
71,tagebuch,schmerzen,leere,lieber,schmerz,fühlen,eigentliches,niederzuschreiben,durst,aufbäumen,emfindungsloses,dahinleben,unerträglich,brennenden,benutze,klappt,führt,dagegen,gefühle,näher
72,paula,modersohn,beckers,museum,kunst,werke,bilder,gesehen,kaufmann,gerichtet,malerin,lieblingskünstlerinnen,becker,künstler,bremen,roselius,ludwig,firma,entkoffeinierten,kunstausstellung
73,zeichnen,schlafmittel,lauter,schäfchen,zeichnet,bestes,kann,zeitraffer,tricks,abends,einschlafen,blatt,sophies,ruhe,hand,schlafen,papier,mache,sorgen,text
74,visum,reisen,schweiz,irma,anhalter,per,zehren,ausgebrochen,urlaube,gemälden,visumspflicht,räder,verreisen,papiere,verwandten,fahrerin,herauszufinden,beantragen,lavendelfelder,gerettet
75,dozent,huber,lmu,inspirierend,aufmerksamen,volksliedkunde,versteckten,professoren,lehrt,zurückgehalten,botschaften,ausgelastet,ichbinsophieschol,tarnt,diskussionsrunde,entschlüsseln,unsicher,klug,musikpsychologie,gegner
76,professor,spannend,rausgekommen,traue,nachdenken,diskussionsrunde,fand,statt,diskutieren,muth,sagen,kopf,hoffe,huber,hätte,bald,meinewoche,gar,woche,mal
77,wochen,neuefreundschaft,gewachsen,gottes,nachgeschaut,semesterferien,fremde,verabschieden,kennengelernt,hoffen,erhalten,ans,namen,vorher,wiedersehen,10,herz,bleiben,schnell,nie
78,schläfchen,zwiebeln,kartoffeln,kochen,dabei,macht,servieren,absicht,schnippeln,weltberühmte,spachteln,anbraten,bratkartoffeln,gekochte,geschälte,ausgelacht,kokelkartoffeln,angekokelt,kocht,vortag
79,unbeschwert,foto,lustvoll,oll,unbeschwertesten,erwidern,ichbinsophiesch,schatzkiste,familie,weimar,guckt,zuvor,lustig,ichs,wochenende,gefühlt,gefallen,vorher,gesagt,gefunden
80,ostfront,karte,briefkasten,ausweg,verladen,sanitätsdienst,woche,hans,sanitäter,widerstand,gleiche,suchen,klingt,durchatmen,studentenkompanie,schaffen,schafft,suche,schreckliche,bevor
81,gestern,ers,verdrängen,botschaft,fokussiert,gerissen,überbracht,witze,schlimme,übel,alex,gegensatz,erstaunlich,gut,wollten,ganz,foto,konzentrieren,stimmung,wichtig
82,beethoven,musik,seenlandschaften,gewalt,umwühlt,zurücklässt,beackerten,durchpflügt,beethoven9,naturaufnahmen,angemacht,bäumen,gebraucht,still,boden,seele,diskutieren,pause,schafft,lesen
83,beziehung,gedanken,wissen,fremder,aushalten,widerstand,grüßen,soldat,gefährlich,ostfront,schreiben,wär,darf,macht,weiß,fritz,ichbinsophiescholl,reisevorbereitungen,reisenden,reparieren
84,bestimmten,duft,erinnerungen,erinnern,zeit,widerstand,blütenähnlicher,dufts,bestimmtes,zarte,hauch,kindergarten,letztens,kinderhaut,bestimmte,chrisophs,feuchter,praktikantin,entstaubt,vincents
85,angst,fritz,gänzlich,ängstlich,verkraften,schaden,überdeckt,licht,widerstand,leise,spüren,beziehung,ans,mich,geist,denke,liebe,kommt,leben,geht
86,unbeschadet,ändert,semesterferien,verbringt,beten,wiedersehen,wochen,meinewoche,mal,münchen,ichbinsophiescholl,religiös,rektor,rekrutenausbildung,rekonstruierbar,remilitarisierung,remppis,reizen,0003,reisevorbereitungen
87,papier,geldbeutel,schreibwaren,schreibwarenladen,mäppchen,papierknappheit,scheitern,angebrochen,abreisen,knapp,unsicher,vieles,sonntag,platz,schaffen,freitag,erstmal,brauchen,mache,fahren
88,poststempel,umschläge,gestapo,schwieriger,wirds,einzuwerfen,unterschiedliche,briefmarkenbögen,überlegt,aufmerksamkeit,abschicken,problem,getragen,reicht,verschiedenen,städten,plan,ziehen,besorgen,leicht
89,dostojewski,berdjajew,bücher,bewundere,irgendwelche,nikolai,unausstehlichen,inspirationsquellen,abschiedsschmerz,fjodor,sorgsam,einpackt,hans,befehl,heimatland,größten,schließen,abschied,werke,geschafft
90,haecker,autoren,muths,bücher,dürfen,geschrieben,theodorhaecker,mitzunehmen,steigern,überprüfen,enger,zuteil,gewaltige,sprach,these,erscheinung,ehre,ausgesucht,buchtipp,sammlung
91,widerstand,vorliebe,schenkt,schließe,hielt,gesellschaftlichen,normen,tiefgründigen,stets,erfahre,verbotene,geändert,entartete,sophie,verbindung,musizieren,gesprächen,lebens,11,verschiedene
92,beschützerrolle,eigenes,beschützer,versprechen,sorgt,übernommen,schicksal,inges,besorgt,abschied,meisten,augen,daran,sieht,denke,geschwister,gefühl,bestimmt,sorgen,denken
93,traurig,gefühl,kam,außenseiterin,mitspielen,seltsames,ausgeschaltet,ostbahnhof,nettes,schöneres,erscheinen,beinah,film,gehören,verabschieden,sah,schmerz,versteht,uniform,abschied
94,studentenkompanie,monate,ostfront,bleibt,zeit,abgeleistet,medizinstudentinnen,truppentransport,famulatur,praktikum,verdauen,frontfamulatur,sprachen,feldwebel,harlaching,passiven,warschau,krankenhaus,moskau,sanitäter
95,packen,dazwischen,platzsparende,gerollte,nahaufnahmen,methode,kleidungsstücke,koffers,trick17,schablone,ordnung,gepackt,beigebracht,sekunde,gelegt,letzter,passt,vervielfältiger,endlich,fritz
96,zurück,allzu,umbruch,vermissen,sitze,12,münchen,zug,unglaublich,oh,bleiben,hoffentlich,weiße,wochen,bald,lange,meinewoche,leben,rose,ulm
97,schaue,ulm,kaffee,echten,geträumt,kurzen,moment,traum,dachte,sogar,dank,sei,morgen,gott,weißen,hätte,gibt,rose,familie,mutter
98,gestapo,werner,durchsucht,inge,nachbarn,gebracht,hause,wurden,wer,gefängnis,lastwagen,feinde,stuttgarter,weiblich,dachten,örtliche,antwort,bekannt,bündischen,offenen
99,christoph,alex,probst,offenste,einstieg,bester,familienvater,kriegskritischen,zweifacher,freundlichste,hans,familie,christl,elternhaus,christophprobst,locker,mitgliedern,stammt,mensch,studentenkompanie
100,mutter,jahre,später,geschichte,nie,schwester,schmeckts,schnulzigen,flädlesuppe,diakonisse,pflegende,trug,altersunterschied,reinlegen,futter,mutters,nannten,fortschrittlich,diakonissin,roman
101,gebet,gott,robert,scholl,abendbrottisch,angenommen,beneide,geliebt,gedeckten,zeichen,klingt,darum,versteht,albern,lina,wünsche,suche,jemand,sprechen,spricht
102,anklage,durchs,frei,vater,sagt,gestapo,gehen,leben,tasse,sondergericht,mitbekommen,wenns,akten,kanzlei,abwartenundteetrinken,umgehen,ordnet,geäußert,würdet,hats
103,auftragsarbeit,künstlerin,illustration,hätte,auftrag,gucke,befriedigend,zeichnungen,projekt,befüllen,skizzenheft,fern,allererste,wirklichkeit,übersetzt,wand,nägele,englische,hanspeter,illustriert
104,sophie,erwachsen,nein,eltern,schwester,große,pimpf,stell,kämen,aufforderung,wasch,winziges,kleinkind,hände,geh,steh,hilf,großeschwester,schuhe,erkannt
105,traurigkeit,lust,wange,streicht,haut,pfff,schwanke,schlafenden,werd,sanft,vibrieren,fingerspitzen,sentimentaler,ansehe,anfühlt,riechen,spüren,quatsch,fritz,albern
106,kehrwoche,geschwister,aufgezogen,necken,vorbildlichkeit,sonderbar,blöden,tanzt,putzen,inge,freudig,wohnzimmer,scholls,musik,tanzen,ganzen,wohnung,gestern,zusammen,tag
107,langweile,allerlei,necke,schwere,genießen,müsste,krieges,kind,vorbei,dinge,komme,sagen,wär,ganzen,zimmer,denke,erste,front,werner,fast
108,the,it,english,from,we,to,german,englisch,week,that,my,doing,igtvs,just,and,now,protest,elisabeth,letter,wrote
109,rüstung,fabrik,sicher,constantin,fertigen,fertigung,rauch,entsetzlich,august,gebraucht,entscheidung,schrauben,schraubenfabrik,verbündete,ganz,dienst,krieg,24,namen,ulmer
110,orten,städten,flugblätter,vervielfältige,süddeutschlandkarte,nützlich,wohnen,pläne,verteilen,finde,gibt,menschen,weißerose,mehr,ichbinsophiescholl,religiös,rektor,remilitarisierung,rekonstruierbar,rekrutenausbildung
111,zeichnung,fritz,skizze,schicken,bekommen,illustration,mittag,selbstporträt,durchdringender,zweieinhalb,prinzessin,berufssoldaten,erwähnen,stolzen,ballerina,station,schicke,kreisen,verpflichtet,nennt
112,blockwart,nachbar,klüger,park,siedlung,begegnung,bezeichnung,nachbarin,ernannt,zellenleiter,horcht,blockleiter,hof,partei,nsdap,offiziell,ganz,leutenberg,einzige,sitze
113,stillstand,rückschritt,vater,worte,verspreche,seelenverwandt,seelenverwandte,begleiten,schlimmsten,einander,todunglücklich,saß,lager,holen,satz,rad,tochter,bedeutet,stimmung,kleinen
114,geduld,hitler,hitlerplakat,kinderzimmerwand,loblieder,dekorierte,gesungen,unbeugsam,unmenschlich,regiert,verabscheut,angefühlt,vater,partei,bereitet,klavier,robertscholl,wütend,fünf,land
115,seuche,satz,februar,gefängnis,untergau,zugrunde,büro,richten,angestellte,führerin,angestellten,erschienen,verhör,gottesgeißel,arbeitet,vertraut,menschheit,wusste,robertscholl,recht
116,traurige,arrangieren,wohnsituation,gewissheit,schraubenfabrik,einzigen,stehe,satz,beziehung,monate,alten,schlecht,neuen,wegen,gefängnis,erst,tag,bald,meinewoche,gar
