,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
165,qaiqgxsedeuneg9sqboaca,deutschen,z0ap4ksoekvjrfngikfang,sophie,bilder,leid,russland,bevölkerung,ja,j73hyfzen1cubwdvddktiq,krieg,t_frgiifc_m1l7r5jbme_w,london,angriff,wehrmacht,irma,scholl,wurde,köln,luftkrieg
166,sirenen,7b0mgawjfcfmao0qor7hig,sirene,oj0hvtub,cl_kbdiexnq1g,keller,oma,mutter,dach,meine,erzählt,luftschutz,luft,bombe,flugzeug,heute,traumata,krieg,luftangriffen,großtante
167,j6w,mkaqtmde7zlfhsv0,3thsio8selx60elcshv05a,sozialismus,c6tns4sugreubsczxftwoq,pmydkgsvxrh_ixcezkgc6q,routinen,krieg,fabrik,rkrlcmqur5p682geqkgg,aichner,foto,städte,usw,praktischen,utopie,ja,durchhalten,deutschland,waffe
168,inge,geschwister,schwestern,immer,schwester,elisabeth,geschwisterliebe,sophie,bomeuxauvk5fxk,wtukctw,streit,spannungen,verlassen,familie,xbyioplpdfaecsomfipu1w,otl,arbeitete,kleid,ankommt,rkrlcmqur5p682geqkgg
169,muth,ja,cyfdlnftygmup,cnhapehd8r43plyimzae9g,1bdosaqq,russisch,namensliste,schlüssel,_thnzpbupdextj8ora7zew,liste,sophie,kettensäge,drushba,bücher,fiktiv,wörter,sätze,6vwxs3gyw,c3d,aenuyml0
170,traum,fritz,brücke,alptraum,brief,05,1940,albträume,träume,alpträumen,mhqkgi9vs9jgzqg5ealgzq,wagen,maßstäbe,krieg,platten,gefahren,sophie,16,fantasie,schrecklicher
171,ostarbeiter,zwangsarbeiter,850mnrs0mkqrsasenyd7hq,essen,zustecken,bezahlung,yi0lxm3ieofbpwuuicmjzg,essensrationen,ostarbeiterinnen,arbeitskräfte,3e_zjdkibw_wyallp4ybtw,versprechungen,innen,deutschen,zwangsarbeit,geringe,behandlung,000,fabrik,lohn
172,professor,helfen,russischwörterbuch,errichte,verlorenes,haussegen,krankgemeldet,unverbesserlich,exstirpieren,mitkam,alltagsroutinen,fabrikalltag,mittagspausen,muth,falschheit,dächern,romantisierte,129,vergiftet,satire
173,postleitzahlen,robert,scholl,briefe,schreiben,familie,ceesc727qfpvhddrjiy4rq,vater,papierknappheit,brief,gefängnis,frankfurter,guter,4ucuxxpgfnihv0og5sfr1a,378,verfrüht,okeetlagxkc5p_wm_1ibiw,gebrochen,wg,zulässig
174,bdm,hj,abitur,bokdva1con47ab8ysqvg2g,pfadfinder,kluft,werner,friedrich,mitglied,pfadfindern,xzzrrwku_rjp_zirfhd7tq,j0y0q_umwseu5uwzsp_qda,platzgasse,schulschwänzer,uniform,bund,hitler,hitlerjugend,wurde,meine
